ï»¿id,income,health_cover,house,wc,phone,car,consumption
1000016,3,1,0,0,1,1,1
1000025,5,1,1,1,1,1,0
1000033,4,1,1,1,1,0,1
1000040,5,1,0,1,1,0,1
1000057,5,1,1,1,1,0,0
1000069,3,1,0,0,0,0,0
1000078,4,1,1,0,1,1,0
1000084,2,1,0,0,0,0,0
1000091,2,1,0,0,1,0,0
1000103,5,1,1,1,1,1,0
1000115,6,1,1,1,1,1,0
1000126,2,1,1,0,1,0,0
1000132,1,1,0,0,0,0,0
1000144,4,1,0,0,1,1,0
1000159,2,0,1,0,1,1,0
1000167,4,1,1,0,1,1,0
1000171,3,1,0,1,1,1,0
1000180,6,1,1,1,1,1,0
1000198,6,1,0,1,1,1,0
1000209,4,1,0,0,1,1,0
1000211,4,0,0,1,1,0,0
1000227,5,1,1,1,1,1,0
1000230,3,1,0,1,1,0,0
1000248,5,1,1,1,1,1,0
1000253,5,1,0,0,1,1,1
1000266,4,1,1,0,1,1,0
1000275,5,1,1,1,1,0,0
1000282,3,1,0,0,1,1,0
1000294,4,1,0,0,1,1,0
1000307,3,1,1,0,0,0,0
1000318,2,1,0,0,1,1,0
1000329,4,1,1,1,1,1,0
1000334,1,0,0,0,1,0,0
1000341,4,1,1,0,1,1,0
1000352,6,1,1,1,1,1,0
1000365,6,1,1,1,1,1,0
1000376,4,1,1,0,1,0,1
1000383,5,1,1,0,1,1,0
1000390,6,1,1,1,1,0,1
1000408,4,1,0,0,1,1,0
1000413,6,1,1,1,1,1,1
1000424,3,1,0,0,1,0,0
1000436,4,1,0,0,1,1,0
1000449,6,1,0,1,1,1,0
1000451,5,1,1,1,1,1,0
1000460,5,1,0,1,1,0,0
1000472,3,0,0,0,1,0,0
1000485,5,1,0,0,1,1,0
1000497,5,1,1,0,1,1,0
1000505,3,1,0,1,1,1,0
1000510,3,1,0,0,1,0,0
1000522,6,1,1,1,1,0,0
1000531,4,1,0,1,1,0,0
1000554,6,1,1,1,1,1,0
1000568,4,1,1,1,1,1,0
1000579,5,1,1,0,1,1,0
1000587,3,0,0,0,1,0,0
1000593,3,1,0,0,1,0,0
1000606,3,1,0,0,1,1,0
1000614,4,0,0,0,0,0,0
1000623,4,1,0,0,1,0,0
1000638,2,0,0,0,0,0,0
1000645,5,1,1,1,1,1,0
1000650,5,1,0,1,1,1,0
1000661,2,1,0,1,1,0,0
1000677,5,1,0,1,1,0,1
1000689,5,1,0,1,1,0,0
1000692,6,1,0,1,1,0,0
1000704,3,0,1,0,0,0,0
1000719,5,1,0,1,1,0,0
1000728,3,0,0,0,1,1,0
1000737,6,1,0,1,1,0,0
1000743,3,0,0,1,1,0,0
1000755,5,1,1,1,1,1,0
1000762,4,0,1,0,1,0,0
1000770,3,1,0,0,1,0,0
1000781,4,1,1,1,1,1,0
1000796,5,1,0,1,1,0,0
1000801,4,1,1,1,1,0,0
1000812,3,1,1,0,1,1,0
1000820,3,1,0,0,0,1,0
1000835,6,1,1,0,1,1,0
1000847,4,1,1,1,1,1,0
1000858,4,0,1,0,1,1,0
1000864,4,0,1,0,1,1,0
1000873,3,1,0,0,1,0,1
1000886,6,1,1,1,1,1,0
1000899,3,0,0,0,1,1,0
